Road_Name,Road_Type,County_Name
Nambale Path B,service,Busia
Busende Road A,residential,Busia
Lwanyange Road A,unclassified,Busia
Mundika-Nambale Road,unclassified,Busia
Lwanyange Connector,path,Busia
Rumbiye B,unclassified,Busia
Dirt Road,residential,Siaya
Katelenyang Primary Village,service,Busia
Onding path A,residential,Siaya
Nangwe-Kasosi Road,unclassified,Bungoma
Katelenyang Primary Village Path 5,service,Busia
Lwanyange Road B,unclassified,Busia
Manyala Road,unclassified,Siaya
Nziu - Kyamukosi Path,residential,Makueni
Manyala Road,unclassified,Siaya
Marima Road,residential,Kiambu
Busibwabo-Nasira Road,unclassified,Busia
Alungoli Service Road,path,Busia
Katelenyang Primary Main Road,unclassified,Busia
Bur Mayo-Ogaralle Road,unclassified,Wajir
Sekero Connectors,unclassified,Busia
Ogalo- Malomba Motorable Path,residential,Busia
Ogalo- Malomba Motorable Path,residential,Kakamega
Sikinga Road,residential,Busia
Camino Peatonal,footway,Tharaka-Nithi
Okame Secondary Village Path 1,unclassified,Busia
Sekero Road A,unclassified,Busia
Bulwani Bumakhudu Road,unclassified,Busia
Sibembe-Malanga Road,unclassified,Busia
Kenyatta Road,secondary,Kiambu
Kenyatta Road,secondary,Kiambu
Gora Access Road,track,Kwale
Fr. Okodoi Village Path,unclassified,Busia
Kisii-Kisumu Road,trunk,Kisii
Rongo-Kisii Road,trunk,Kisii
Kisii-Kisumu Road,trunk,Kisii
Samburu-Mwangea Acces Road,tertiary,Kwale
Gora Access Road,track,Kwale
Angorom Road F9,footway,Busia
AIC Nyunzu Culvert,residential,Makueni
Gichinga Lane,residential,Murang'a
Nyunzu- kwa Kamende,unclassified,Makueni
Nziu- Mlolongo Road,unclassified,Makueni
Kitikyumu Town-Kitikyumu Dispensary,residential,Makueni
Lwanyange Road,unclassified,Busia
St. Michaels Apatit Secondary Main Road,unclassified,Busia
Sekero Road C,unclassified,Busia
Sekero Road B,tertiary,Busia
Elu Road,track,Busia
Okwata Market Village Path 1c,path,Busia
Otada Street,footway,Nairobi
Aldo Vettori Road,residential,Samburu
9th Lane,residential,Kajiado
6th Lane,residential,Kajiado
Mathare River Bridge,path,Nairobi
kiomo-kakongo road,unclassified,Kitui
Ukia-Emali Road,secondary,Makueni
