country,provpcode,province,ctypcode,county,scpcode,subcounty,dhis2_id
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_175,Nakuru West  Sub County,KTayLusaU5I
Kenya,KEN_1_1,Coast,KEN_2_5,Lamu,KEN_3_22,LAMU WEST,Lfxw0DfD4jN
Kenya,KEN_1_5,Rift Valley,KEN_2_30,Baringo,KEN_3_161,Mogotio Sub County,k5sxmlXAtIg
Kenya,KEN_1_5,Rift Valley,KEN_2_33,Narok,KEN_3_182,Narok West Sub County,ouA247cg58A
Kenya,KEN_1_4,Central,KEN_2_19,Nyeri,,Mathira West Sub County,msIc1uFAY6B
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_221,Webuye  East Sub County,f4AOiG8fYtn
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_223,Kimilili Sub County,AphsS3lJwKU
Kenya,KEN_1_3,Eastern,KEN_2_17,Makueni,KEN_3_88,Kibwezi East  Sub County,ZhhyithPNoI
Kenya,KEN_1_3,Eastern,KEN_2_11,Isiolo,KEN_3_50,Garbatulla Sub County,ecl4YnDebUi
Kenya,KEN_1_5,Rift Valley,KEN_2_26,Trans Nzoia,KEN_3_140,Cherangany Sub County,f18kGo9yXWo
Kenya,KEN_1_5,Rift Valley,KEN_2_34,Kajiado,KEN_3_186,Kajiado West Sub County,wYsCfCAUWNB
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_224,Tongaren Sub County,orUwYD52An3
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_58,Imenti Central Sub County,OnNcTsJgfvL
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_199,Lugari Sub County,ZOdhgR19Akq
Kenya,KEN_1_5,Rift Valley,KEN_2_26,Trans Nzoia,KEN_3_138,Saboti  Sub County,y2M16lesMsF
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_283,Embakasi North Sub County,SSz1iOv28Jk
Kenya,KEN_1_3,Eastern,KEN_2_17,Makueni,KEN_3_87,Kibwezi West  Sub County,toa2Hl7iVQI
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_207,Butere Sub County,K7mZpm8COh7
Kenya,KEN_1_5,Rift Valley,KEN_2_30,Baringo,KEN_3_159,Baringo Central Sub County,k7Rj54u6dMx
Kenya,KEN_1_5,Rift Valley,KEN_2_34,Kajiado,KEN_3_183,Kajiado North Sub County,BLz1HkvvMkA
