country,province,county,Subcounty,longitude,latitude,dist_to_busia_km,dist_to_malaba_km,dist_to_lwakhakha_km,dist_to_suam_km,dist_to_laikipia_airbase_km,County,Total,area_sqkm,adm2_ref_name,center_lat,center_lon,geometry,dist_to_quarantine_km,dist_to_border_km,hospital_count,County_Name,road_count,District Hospital,Health Centre,National Referral Hospital,Provincial General Hospital,raw_healthcare_capacity
Kenya,Eastern,Meru,Imenti South,37.503773944879725,-0.1039920761789426,382.1444561765289,368.3280150449177,361.7053428544787,341.6045161360472,56.12085140458672,Meru,206506.0,,,,,,,,,,,1.0,5.0,0.0,0.0,95.0
Kenya,Rift Valley,Bomet,Konoin,35.369088108288324,-0.5279584650645042,177.98825490674585,177.6343271348152,183.91700767002743,206.8930510951459,195.10024574127783,Bomet,163507.0,851.37474055,Konoin,-0.53784544,35.37821147,POINT (764700.3296847896 -59499.68945352566),183.59207191464745,178.61150407979324,0.0,Bomet,92.0,0.0,4.0,0.0,0.0,41.0
Kenya,Rift Valley,Nakuru,Nakuru North,36.15294691652798,-0.2214469373736003,239.1987419224368,229.55651575292765,227.5121639024835,225.10601661708515,101.622875652621,Nakuru,218050.0,,,,,,,,,,,1.0,10.0,0.0,0.0,67.0
Kenya,Rift Valley,Nakuru,Subukia,36.18009343943397,-0.0186532118760578,235.90721254131816,223.99466312624745,219.92659183422165,211.9324555449057,94.2285893900012,Nakuru,85164.0,454.25502196,Subukia,0.02495213,36.22202038,POINT (858720.5575385098 2762.3561645644),71.27258731503805,227.4556854291476,0.0,Nakuru,649.0,0.0,3.0,0.0,0.0,38.0
Kenya,Rift Valley,Samburu,Samburu Central,36.71699389477183,1.0876581571737844,297.4663435291945,276.10975617425186,262.08395727804566,221.23311113072532,119.922710212642,Samburu,164942.0,,,,,,,,,,,1.0,1.0,0.0,0.0,55.0
Kenya,Central,Muranga,Kiharu,37.08914455052345,-0.717262783884263,355.9630944191898,347.2172319059274,345.26383358334937,339.3050793951616,86.05105839357523,,,305.68805263,Kiharu,-0.71004561,37.1025049,POINT (956864.3247687896 -78684.37052279626),116.88436905568793,348.6691324991046,0.0,Murang'a,102.0,1.0,2.0,0.0,0.0,61.0
Kenya,North Eastern,Mandera,Mandera West,40.138825351159646,3.445361559533836,746.8607437625229,722.5604363044214,704.6335882803093,649.7088082983907,511.8564065783969,Mandera,98300.0,5174.64427828,Mandera West,3.457671,40.05793672,POINT (1285940.5655554468 385111.9980003064),505.4058066803861,717.6685524358063,0.0,Mandera,29.0,1.0,2.0,0.0,0.0,21.0
Kenya,Rift Valley,West Pokot,West Pokot,35.148902824471406,1.5125178790356626,163.5582278855187,137.60932956463682,117.02467470888362,56.67406363295821,264.1718238004123,West Pokot,184446.0,,,,,,,,,,,1.0,4.0,0.0,0.0,64.0
Kenya,Nyanza,Migori,Rongo,34.59701281552197,-0.7757880007715855,148.1709791726134,161.0260176095127,176.47735317191157,222.42397533313687,285.2372873577315,Migori,124587.0,212.57939756,Rongo,-0.81635394,34.59807532,POINT (677831.0479032253 -90267.04096910534),274.65302396313785,164.0326844928589,0.0,Migori,87.0,1.0,3.0,0.0,0.0,30.0
Kenya,Nairobi,Nairobi,Ruaraka,36.880307519052266,-1.246842143497251,361.73161970157065,357.4237134344827,359.2025741774357,363.7688970076827,145.52054283603007,,,7.17967253,Ruaraka,-1.24575497,36.87807589,POINT (931763.1458785755 -138011.61864883677),171.46058693961746,357.04297402034376,0.0,Nairobi,6010.0,0.0,6.0,0.0,0.0,64.0
