Subcounty,adm2_pcode,adm1_name,adm1_pcode,area_sqkm,adm2_ref_name,center_lat,center_lon,geometry,dist_to_quarantine_km,dist_to_border_km,hospital_count,County_Name,road_count
North Horr,KE010046,Marsabit,KE010,40557.27319193,North Horr,3.17623824,37.53880652,POINT (1004813.4097453039 352183.0015538347),329.238580255524,460.38024396909566,0.0,Marsabit,97
North Imenti,KE012056,Meru,KE012,301.98285266,North Imenti,0.04430047,37.69236184,POINT (1022730.8480190837 4913.111435065191),103.52794930206876,386.86360423121664,0.0,Meru,111
North Mugirango,KE046272,Nyamira,KE046,170.34844557,North Mugirango,-0.50303575,34.98241207,POINT (720628.6995422038 -55634.099142408384),221.1623251143488,148.27641765525337,0.0,Nyamira,114
Nyakach,KE042244,Kisumu,KE042,402.5355251,Nyakach,-0.31892162,34.90343142,POINT (711840.231563988 -35270.01679947225),222.1374825522648,126.4168785299119,0.0,Kisumu,313
Nyali,KE001004,Mombasa,KE001,22.80051151,Nyali,-4.03083999,39.70041579,POINT (1245452.092029491 -448610.92237372673),579.69890231935,795.970058681545,0.0,Mombasa,711
Nyando,KE042242,Kisumu,KE042,603.08903028,Nyando,-0.20671745,34.85598911,POINT (706560.1545620328 -22860.56392825242),223.73702254532012,113.2006716769716,0.0,Kisumu,313
Nyaribari Chache,KE045267,Kisii,KE045,135.95445101,Nyaribari Chache,-0.73667733,34.82169836,POINT (702727.152532771 -81466.47100912099),248.48092053075644,163.1168066188333,0.0,Kisii,172
Nyaribari Masaba,KE045266,Kisii,KE045,159.17225598,Nyaribari Masaba,-0.83555349,34.9276948,POINT (714522.2426072735 -92406.47190236933),243.5391972089492,177.82267812548716,0.0,Kisii,172
Nyatike,KE044258,Migori,KE044,1214.09404956,Nyatike,-0.92785394,34.13412083,POINT (626191.1085999291 -102576.05510149602),326.5416715633589,172.8906467881713,0.0,Migori,87
Nyeri Town,KE019099,Nyeri,KE019,169.19463615,Nyeri Town,-0.41686121,36.96974163,POINT (942077.4245650606 -46187.255500638625),81.64373290862754,322.2920243823048,0.0,Nyeri,222
Ol Jorok,KE018092,Nyandarua,KE018,625.3801669,Ol Jorok,-0.17835241,36.25865773,POINT (862802.2339393335 -19745.442431881198),80.30383002036623,238.84113641801628,0.0,Nyandarua,91
Ol Kalou,KE018091,Nyandarua,KE018,287.19919837,Ol Kalou,-0.30854661,36.35731184,POINT (873794.7668379105 -34162.70087448497),83.53568611788528,254.5991741815119,0.0,Nyandarua,91
Othaya,KE019097,Nyeri,KE019,356.44998757,Othaya,-0.55332604,36.83060449,POINT (926550.5997947623 -61297.02930777929),94.59069303648224,313.85120594044866,0.0,Nyeri,222
Pokot South,KE024132,West Pokot,KE024,1267.74716967,Pokot South,1.33881199,35.29046562,POINT (754870.6424408345 148098.29751519836),203.74637561198176,138.01145363731453,0.0,West Pokot,175
Rabai,KE003014,Kilifi,KE003,233.9353371,Rabai,-3.88552252,39.62677311,POINT (1237351.9143759394 -432372.88886062265),561.703069623589,779.2813291114571,0.0,Kilifi,248
Rangwe,KE043248,Homa Bay,KE043,290.7323395,Rangwe,-0.51317306,34.56974441,POINT (674688.2908125275 -56742.49393386613),264.25268942854274,130.7235480524925,0.0,Homa Bay,195
